Unnamed: 0,answer_relevancy,rouge2,rougel,bleu,faithfulness,answer_correctness,context_precision,rouge1,context_recall,model,Accuracy
q1,0.784477088,1.0,1.0,0.0675,1.0,0.996770662,1.0,1.0,1.0,MedCPT + gpt-4,1
q2,0.813283629,1.0,1.0,0.061,1.0,0.246702451,1.0,1.0,1.0,MedCPT + gpt-4,0
q3,0.866312778,1.0,1.0,0.0,0.0,0.2459969,1.0,1.0,1.0,MedCPT + gpt-4,0
q4,0.845315382,0.0,0.1333,0.0,1.0,0.231303363,1.0,0.1333,1.0,MedCPT + gpt-4,0
q5,0.781204994,0.0,0.4,0.0,1.0,0.491400882,1.0,0.4,1.0,MedCPT + gpt-4,0
q6,0.776724463,0.0,0.0,0.0,0.5,0.205827731,0.0,0.0,0.0,MedCPT + gpt-4,0
q7,0.771718017,0.0,0.0,0.0,1.0,0.192632808,1.0,0.0,1.0,MedCPT + gpt-4,0
q8,0.822061984,0.0,0.0,0.0,1.0,0.20319806,1.0,0.0,0.0,MedCPT + gpt-4,0
q9,0.825673125,0.0,0.3333,0.0725,0.0,0.218612726,1.0,0.3333,0.0,MedCPT + gpt-4,0
q10,0.854919266,0.3636,0.4615,0.0235,1.0,0.600786949,1.0,0.4615,1.0,MedCPT + gpt-4,1
q11,0.819809892,0.0,0.1667,0.0,1.0,0.196122251,0.0,0.1667,0.0,MedCPT + gpt-4,0
q12,0.853884836,0.3636,0.4615,0.057,1.0,0.599777933,1.0,0.4615,1.0,MedCPT + gpt-4,1
q13,0.791119483,0.6667,0.7273,0.0,1.0,0.989696794,1.0,0.7273,1.0,MedCPT + gpt-4,1
q14,0.0,0.0,0.0,0.0,1.0,0.189947126,0.0,0.0,0.0,MedCPT + gpt-4,0
q15,0.871683446,0.0,0.25,0.0,1.0,0.602832012,1.0,0.25,1.0,MedCPT + gpt-4,1
q16,0.84113653,0.0,1.0,0.0,1.0,0.246543393,1.0,1.0,1.0,MedCPT + gpt-4,0
q17,0.82828493,0.1429,0.375,0.0271,1.0,0.783897182,1.0,0.5,1.0,MedCPT + gpt-4,1
q18,0.830754616,0.0,0.0,0.0,0.5,0.21044702,0.0,0.0,0.0,MedCPT + gpt-4,0
q19,0.782809053,0.0,0.0,0.0,1.0,0.215419795,0.0,0.0,0.0,MedCPT + gpt-4,0
q20,0.816971074,0.0,0.0,0.0,0.0,0.210888942,1.0,0.0,0.0,MedCPT + gpt-4,0
q1,0.786499367,0.0,0.0,0.0,0.5,0.207331555,1.0,0.0,1.0,Ada + gpt4o,0
q2,0.813283629,0.8,0.8571,0.097,1.0,0.539549205,1.0,0.8571,1.0,Ada + gpt4o,1
q3,0.0,0.0,0.0,0.0,0.0,0.19973587,0.0,0.0,0.0,Ada + gpt4o,0
q4,0.838203252,0.3636,0.4615,0.0,1.0,0.735549619,1.0,0.4615,1.0,Ada + gpt4o,1
q5,0.0,0.0,0.0,0.0,0.0,0.190535145,0.0,0.0,0.0,Ada + gpt4o,0
q6,0.85717818,0.5,0.6667,0.1353,0.0,0.221836086,1.0,0.6667,1.0,Ada + gpt4o,0
q7,0.756550793,0.0,0.4,0.1129,1.0,0.20242851,1.0,0.4,1.0,Ada + gpt4o,0
q8,0.884942988,0.0,0.0,0.0,1.0,0.197176942,1.0,0.0,0.0,Ada + gpt4o,0
q9,0.815633222,0.0,0.1818,0.0609,0.0,0.216635337,0.0,0.1818,0.0,Ada + gpt4o,0
q10,0.855555317,0.0,0.0,0.0,1.0,0.584247798,1.0,0.0,1.0,Ada + gpt4o,1
q11,0.824082029,0.0,0.1667,0.0,1.0,0.19603278,1.0,0.1667,0.0,Ada + gpt4o,0
q12,0.845856729,0.5,0.6,0.2182,1.0,0.732206871,1.0,0.6,1.0,Ada + gpt4o,1
q13,0.779125089,1.0,1.0,0.0,1.0,0.246347301,1.0,1.0,1.0,Ada + gpt4o,0
q14,0.756685837,0.75,0.8,0.0,1.0,0.748196969,1.0,0.8,1.0,Ada + gpt4o,1
q15,0.948314498,0.0,0.0,0.0,0.0,0.202660187,1.0,0.0,1.0,Ada + gpt4o,0
q16,0.807477403,0.0,0.0,0.0,1.0,0.214456373,1.0,0.0,1.0,Ada + gpt4o,0
q17,0.0,0.1053,0.1905,0.1348,1.0,0.191113727,1.0,0.1905,0.0,Ada + gpt4o,0
q18,0.877704393,0.0,0.08,0.0,0.0,0.46729475,1.0,0.08,0.0,Ada + gpt4o,0
